PID, BUS, Root, BusTime, QueueTime
[people-22, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-23, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-1, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-8, bus-Bus_3, BusStop_4->BusStop_3, 5, 3]
[people-37, bus-Bus_3, BusStop_4->BusStop_3, 5, 2]
[people-21, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-25, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-3, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-4, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-6, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-28, bus-Bus_1, BusStop_1->BusStop_4, 4, 8]
[people-29, bus-Bus_1, BusStop_1->BusStop_4, 4, 8]
[people-51, bus-Bus_2, BusStop_3->BusStop_4, 4, 6]
[people-54, bus-Bus_2, BusStop_3->BusStop_4, 4, 6]
[people-66, bus-Bus_2, BusStop_3->BusStop_4, 4, 5]
[people-69, bus-Bus_3, BusStop_3->BusStop_4, 4, 5]
[people-73, bus-Bus_3, BusStop_3->BusStop_4, 4, 5]
[people-12, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-172, bus-Bus_0, BusStop_4->BusStop_2, 4, 4]
[people-176, bus-Bus_0, BusStop_4->BusStop_2, 4, 4]
[people-26, bus-Bus_1, BusStop_1->BusStop_0, 8, 8]
[people-36, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-38, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-41, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-64, bus-Bus_1, BusStop_4->BusStop_0, 4, 9]
[people-88, bus-Bus_1, BusStop_4->BusStop_0, 4, 8]
[people-92, bus-Bus_1, BusStop_4->BusStop_0, 4, 8]
[people-17, bus-Bus_2, BusStop_3->BusStop_2, 8, 8]
[people-52, bus-Bus_2, BusStop_3->BusStop_2, 8, 6]
[people-192, bus-Bus_2, BusStop_4->BusStop_2, 4, 3]
[people-196, bus-Bus_2, BusStop_4->BusStop_2, 4, 3]
[people-197, bus-Bus_2, BusStop_4->BusStop_2, 4, 3]
[people-9, bus-Bus_3, BusStop_4->BusStop_2, 13, 3]
[people-10, bus-Bus_3, BusStop_4->BusStop_2, 13, 3]
[people-39, bus-Bus_3, BusStop_4->BusStop_2, 13, 2]
[people-65, bus-Bus_3, BusStop_4->BusStop_2, 13, 0]
[people-71, bus-Bus_3, BusStop_3->BusStop_2, 8, 5]
[people-72, bus-Bus_3, BusStop_3->BusStop_2, 8, 5]
[people-217, bus-Bus_3, BusStop_4->BusStop_2, 4, 2]
[people-218, bus-Bus_3, BusStop_4->BusStop_2, 4, 2]
[people-234, bus-Bus_3, BusStop_4->BusStop_2, 4, 1]
[people-89, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-90, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-91, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-108, bus-Bus_0, BusStop_4->BusStop_3, 12, 7]
[people-109, bus-Bus_0, BusStop_4->BusStop_3, 12, 7]
[people-173, bus-Bus_0, BusStop_4->BusStop_3, 12, 4]
[people-175, bus-Bus_0, BusStop_4->BusStop_3, 12, 4]
[people-35, bus-Bus_1, BusStop_4->BusStop_1, 12, 11]
[people-40, bus-Bus_1, BusStop_4->BusStop_1, 12, 11]
[people-93, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-193, bus-Bus_2, BusStop_4->BusStop_3, 12, 3]
[people-194, bus-Bus_2, BusStop_4->BusStop_3, 12, 3]
[people-195, bus-Bus_2, BusStop_4->BusStop_3, 12, 3]
[people-213, bus-Bus_2, BusStop_4->BusStop_3, 12, 2]
[people-214, bus-Bus_2, BusStop_4->BusStop_3, 12, 2]
[people-47, bus-Bus_2, BusStop_2->BusStop_3, 8, 15]
[people-215, bus-Bus_3, BusStop_4->BusStop_3, 12, 2]
[people-58, bus-Bus_3, BusStop_2->BusStop_3, 8, 14]
[people-75, bus-Bus_3, BusStop_2->BusStop_3, 8, 13]
[people-130, bus-Bus_3, BusStop_2->BusStop_3, 8, 10]
[people-132, bus-Bus_3, BusStop_2->BusStop_3, 8, 10]
[people-43, bus-Bus_0, BusStop_2->BusStop_4, 12, 15]
[people-44, bus-Bus_0, BusStop_2->BusStop_4, 12, 15]
[people-74, bus-Bus_0, BusStop_3->BusStop_4, 4, 21]
[people-95, bus-Bus_0, BusStop_3->BusStop_4, 4, 20]
[people-97, bus-Bus_0, BusStop_3->BusStop_4, 4, 20]
[people-79, bus-Bus_1, BusStop_0->BusStop_4, 12, 12]
[people-46, bus-Bus_2, BusStop_2->BusStop_4, 12, 15]
[people-55, bus-Bus_2, BusStop_2->BusStop_4, 12, 14]
[people-57, bus-Bus_2, BusStop_2->BusStop_4, 12, 14]
[people-125, bus-Bus_2, BusStop_3->BusStop_4, 4, 18]
[people-77, bus-Bus_3, BusStop_2->BusStop_4, 12, 13]
[people-131, bus-Bus_3, BusStop_2->BusStop_4, 12, 10]
[people-146, bus-Bus_3, BusStop_3->BusStop_4, 4, 17]
[people-96, bus-Bus_0, BusStop_3->BusStop_2, 8, 20]
[people-2, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 16, 16]
[people-280, bus-Bus_0, BusStop_4->BusStop_2, 4, 15]
[people-281, bus-Bus_0, BusStop_4->BusStop_2, 4, 15]
[people-94, bus-Bus_1, BusStop_4->BusStop_0, 4, 24]
[people-119, bus-Bus_1, BusStop_4->BusStop_0, 4, 22]
[people-120, bus-Bus_1, BusStop_4->BusStop_0, 4, 22]
[people-174, bus-Bus_1, BusStop_4->BusStop_0, 4, 20]
[people-216, bus-Bus_1, BusStop_4->BusStop_0, 4, 18]
[people-220, bus-Bus_1, BusStop_4->BusStop_0, 4, 18]
[people-127, bus-Bus_2, BusStop_3->BusStop_2, 8, 18]
[people-283, bus-Bus_2, BusStop_4->BusStop_2, 4, 15]
[people-306, bus-Bus_2, BusStop_4->BusStop_2, 4, 14]
