n.exp, avg.step, time[ms]
Experiment:0, 169, 123, ms
Experiment:1, 185, 21, ms
Experiment:2, 201, 25, ms
Experiment:3, 185, 16, ms
Experiment:4, 185, 14, ms
Experiment:5, 185, 15, ms
Experiment:6, 169, 12, ms
Experiment:7, 193, 13, ms
Experiment:8, 265, 18, ms
Experiment:9, 169, 11, ms
Experiment:10, 249, 16, ms
Experiment:11, 201, 15, ms
Experiment:12, 169, 11, ms
Experiment:13, 201, 13, ms
Experiment:14, 201, 14, ms
Experiment:15, 185, 14, ms
Experiment:16, 249, 12, ms
Experiment:17, 201, 13, ms
Experiment:18, 169, 11, ms
Experiment:19, 201, 12, ms
Experiment:20, 201, 13, ms
Experiment:21, 265, 16, ms
Experiment:22, 185, 13, ms
Experiment:23, 201, 11, ms
Experiment:24, 169, 9, ms
Experiment:25, 305, 17, ms
Experiment:26, 201, 11, ms
Experiment:27, 201, 13, ms
Experiment:28, 249, 15, ms
Experiment:29, 185, 10, ms
Experiment:30, 249, 11, ms
Experiment:31, 321, 11, ms
Experiment:32, 217, 10, ms
Experiment:33, 185, 9, ms
Experiment:34, 177, 8, ms
Experiment:35, 217, 7, ms
Experiment:36, 177, 8, ms
Experiment:37, 201, 9, ms
Experiment:38, 201, 8, ms
Experiment:39, 201, 9, ms
Experiment:40, 233, 11, ms
Experiment:41, 201, 8, ms
Experiment:42, 201, 9, ms
Experiment:43, 217, 9, ms
Experiment:44, 185, 8, ms
Experiment:45, 185, 9, ms
Experiment:46, 217, 8, ms
Experiment:47, 193, 7, ms
Experiment:48, 185, 8, ms
Experiment:49, 201, 9, ms
Experiment:50, 217, 10, ms
Experiment:51, 185, 8, ms
Experiment:52, 233, 9, ms
Experiment:53, 217, 7, ms
Experiment:54, 265, 8, ms
Experiment:55, 249, 8, ms
Experiment:56, 201, 8, ms
Experiment:57, 265, 7, ms
Experiment:58, 281, 12, ms
Experiment:59, 281, 9, ms
Experiment:60, 233, 7, ms
Experiment:61, 169, 7, ms
Experiment:62, 185, 6, ms
Experiment:63, 201, 6, ms
Experiment:64, 177, 7, ms
Experiment:65, 265, 8, ms
Experiment:66, 233, 7, ms
Experiment:67, 177, 6, ms
Experiment:68, 185, 7, ms
Experiment:69, 185, 6, ms
Experiment:70, 185, 6, ms
Experiment:71, 177, 7, ms
Experiment:72, 201, 7, ms
Experiment:73, 201, 6, ms
Experiment:74, 217, 6, ms
Experiment:75, 201, 7, ms
Experiment:76, 217, 8, ms
Experiment:77, 217, 8, ms
Experiment:78, 281, 7, ms
Experiment:79, 201, 7, ms
Experiment:80, 185, 5, ms
Experiment:81, 193, 6, ms
Experiment:82, 185, 7, ms
Experiment:83, 257, 9, ms
Experiment:84, 201, 8, ms
Experiment:85, 217, 8, ms
Experiment:86, 233, 7, ms
Experiment:87, 185, 6, ms
Experiment:88, 201, 6, ms
Experiment:89, 233, 8, ms
Experiment:90, 169, 6, ms
Experiment:91, 177, 6, ms
Experiment:92, 169, 15, ms
Experiment:93, 185, 7, ms
Experiment:94, 201, 6, ms
Experiment:95, 209, 8, ms
Experiment:96, 233, 6, ms
Experiment:97, 201, 6, ms
Experiment:98, 265, 8, ms
Experiment:99, 169, 6, ms
Platooning ABS Total Experiment:100, 208, 1071, ms
