n.exp, avg.step, time[ms]
Experiment:0, 153, 126, ms
Experiment:1, 145, 20, ms
Experiment:2, 153, 16, ms
Experiment:3, 137, 17, ms
Experiment:4, 185, 18, ms
Experiment:5, 153, 16, ms
Experiment:6, 153, 13, ms
Experiment:7, 137, 13, ms
Experiment:8, 153, 14, ms
Experiment:9, 153, 14, ms
Experiment:10, 185, 15, ms
Experiment:11, 201, 16, ms
Experiment:12, 169, 14, ms
Experiment:13, 249, 14, ms
Experiment:14, 185, 13, ms
Experiment:15, 153, 13, ms
Experiment:16, 153, 12, ms
Experiment:17, 169, 11, ms
Experiment:18, 153, 12, ms
Experiment:19, 153, 14, ms
Experiment:20, 169, 11, ms
Experiment:21, 153, 13, ms
Experiment:22, 153, 12, ms
Experiment:23, 153, 11, ms
Experiment:24, 217, 14, ms
Experiment:25, 137, 11, ms
Experiment:26, 201, 11, ms
Experiment:27, 209, 15, ms
Experiment:28, 217, 10, ms
Experiment:29, 201, 10, ms
Experiment:30, 153, 10, ms
Experiment:31, 137, 7, ms
Experiment:32, 153, 8, ms
Experiment:33, 169, 9, ms
Experiment:34, 153, 7, ms
Experiment:35, 249, 10, ms
Experiment:36, 153, 9, ms
Experiment:37, 201, 10, ms
Experiment:38, 169, 9, ms
Experiment:39, 169, 9, ms
Experiment:40, 153, 8, ms
Experiment:41, 185, 13, ms
Experiment:42, 185, 8, ms
Experiment:43, 153, 9, ms
Experiment:44, 153, 7, ms
Experiment:45, 153, 7, ms
Experiment:46, 169, 9, ms
Experiment:47, 153, 7, ms
Experiment:48, 153, 8, ms
Experiment:49, 233, 13, ms
Experiment:50, 153, 11, ms
Experiment:51, 153, 7, ms
Experiment:52, 217, 8, ms
Experiment:53, 201, 9, ms
Experiment:54, 201, 8, ms
Experiment:55, 169, 8, ms
Experiment:56, 169, 7, ms
Experiment:57, 137, 31, ms
Experiment:58, 217, 9, ms
Experiment:59, 153, 8, ms
Experiment:60, 169, 9, ms
Experiment:61, 169, 9, ms
Experiment:62, 153, 7, ms
Experiment:63, 169, 8, ms
Experiment:64, 169, 8, ms
Experiment:65, 185, 8, ms
Experiment:66, 169, 6, ms
Experiment:67, 201, 8, ms
Experiment:68, 185, 8, ms
Experiment:69, 137, 6, ms
Experiment:70, 169, 7, ms
Experiment:71, 153, 10, ms
Experiment:72, 153, 8, ms
Experiment:73, 153, 7, ms
Experiment:74, 153, 6, ms
Experiment:75, 265, 8, ms
Experiment:76, 169, 6, ms
Experiment:77, 161, 7, ms
Experiment:78, 153, 7, ms
Experiment:79, 153, 17, ms
Experiment:80, 153, 7, ms
Experiment:81, 281, 9, ms
Experiment:82, 249, 7, ms
Experiment:83, 153, 7, ms
Experiment:84, 249, 9, ms
Experiment:85, 161, 13, ms
Experiment:86, 153, 15, ms
Experiment:87, 161, 9, ms
Experiment:88, 145, 11, ms
Experiment:89, 169, 7, ms
Experiment:90, 169, 7, ms
Experiment:91, 185, 8, ms
Experiment:92, 153, 7, ms
Experiment:93, 169, 8, ms
Experiment:94, 169, 8, ms
Experiment:95, 185, 8, ms
Experiment:96, 153, 7, ms
Experiment:97, 169, 6, ms
Experiment:98, 153, 8, ms
Experiment:99, 153, 6, ms
Platooning ABS Total Experiment:100, 171, 1136, ms
