n.exp, avg.step, time[ms]
Experiment:0, 233, 118, ms
Experiment:1, 321, 25, ms
Experiment:2, 233, 17, ms
Experiment:3, 329, 17, ms
Experiment:4, 361, 18, ms
Experiment:5, 249, 13, ms
Experiment:6, 225, 15, ms
Experiment:7, 297, 18, ms
Experiment:8, 249, 17, ms
Experiment:9, 249, 13, ms
Experiment:10, 249, 15, ms
Experiment:11, 233, 12, ms
Experiment:12, 265, 13, ms
Experiment:13, 281, 15, ms
Experiment:14, 265, 12, ms
Experiment:15, 305, 16, ms
Experiment:16, 249, 12, ms
Experiment:17, 233, 14, ms
Experiment:18, 297, 13, ms
Experiment:19, 281, 16, ms
Experiment:20, 217, 12, ms
Experiment:21, 281, 12, ms
Experiment:22, 329, 15, ms
Experiment:23, 217, 10, ms
Experiment:24, 409, 15, ms
Experiment:25, 281, 20, ms
Experiment:26, 281, 12, ms
Experiment:27, 265, 10, ms
Experiment:28, 249, 8, ms
Experiment:29, 329, 12, ms
Experiment:30, 233, 8, ms
Experiment:31, 313, 9, ms
Experiment:32, 265, 9, ms
Experiment:33, 249, 9, ms
Experiment:34, 241, 8, ms
Experiment:35, 233, 7, ms
Experiment:36, 249, 8, ms
Experiment:37, 233, 8, ms
Experiment:38, 297, 9, ms
Experiment:39, 233, 10, ms
Experiment:40, 257, 8, ms
Experiment:41, 265, 9, ms
Experiment:42, 249, 8, ms
Experiment:43, 297, 8, ms
Experiment:44, 297, 9, ms
Experiment:45, 281, 8, ms
Experiment:46, 233, 8, ms
Experiment:47, 233, 7, ms
Experiment:48, 249, 9, ms
Experiment:49, 233, 9, ms
Experiment:50, 249, 9, ms
Experiment:51, 233, 8, ms
Experiment:52, 249, 8, ms
Experiment:53, 217, 8, ms
Experiment:54, 313, 11, ms
Experiment:55, 249, 29, ms
Experiment:56, 225, 6, ms
Experiment:57, 233, 8, ms
Experiment:58, 233, 7, ms
Experiment:59, 281, 7, ms
Experiment:60, 281, 8, ms
Experiment:61, 281, 9, ms
Experiment:62, 249, 7, ms
Experiment:63, 297, 8, ms
Experiment:64, 265, 7, ms
Experiment:65, 233, 7, ms
Experiment:66, 233, 6, ms
Experiment:67, 249, 6, ms
Experiment:68, 249, 7, ms
Experiment:69, 249, 8, ms
Experiment:70, 257, 6, ms
Experiment:71, 249, 8, ms
Experiment:72, 217, 7, ms
Experiment:73, 273, 7, ms
Experiment:74, 345, 7, ms
Experiment:75, 233, 6, ms
Experiment:76, 225, 7, ms
Experiment:77, 265, 6, ms
Experiment:78, 249, 7, ms
Experiment:79, 249, 6, ms
Experiment:80, 329, 8, ms
Experiment:81, 249, 8, ms
Experiment:82, 329, 7, ms
Experiment:83, 217, 5, ms
Experiment:84, 233, 7, ms
Experiment:85, 345, 8, ms
Experiment:86, 249, 8, ms
Experiment:87, 241, 29, ms
Experiment:88, 233, 9, ms
Experiment:89, 233, 7, ms
Experiment:90, 241, 8, ms
Experiment:91, 233, 6, ms
Experiment:92, 241, 8, ms
Experiment:93, 233, 6, ms
Experiment:94, 329, 8, ms
Experiment:95, 249, 8, ms
Experiment:96, 313, 7, ms
Experiment:97, 225, 6, ms
Experiment:98, 233, 6, ms
Experiment:99, 233, 6, ms
Platooning ABS Total Experiment:100, 262, 1113, ms
