n.exp, avg.step, time[ms]
Experiment:0, 633, 127, ms
Experiment:1, 625, 25, ms
Experiment:2, 617, 22, ms
Experiment:3, 601, 17, ms
Experiment:4, 633, 19, ms
Experiment:5, 601, 17, ms
Experiment:6, 601, 15, ms
Experiment:7, 633, 16, ms
Experiment:8, 633, 17, ms
Experiment:9, 585, 13, ms
Experiment:10, 617, 14, ms
Experiment:11, 609, 15, ms
Experiment:12, 637, 17, ms
Experiment:13, 633, 14, ms
Experiment:14, 609, 16, ms
Experiment:15, 633, 15, ms
Experiment:16, 617, 13, ms
Experiment:17, 601, 16, ms
Experiment:18, 633, 14, ms
Experiment:19, 601, 12, ms
Experiment:20, 665, 15, ms
Experiment:21, 665, 13, ms
Experiment:22, 633, 18, ms
Experiment:23, 617, 11, ms
Experiment:24, 641, 9, ms
Experiment:25, 601, 11, ms
Experiment:26, 617, 8, ms
Experiment:27, 601, 9, ms
Experiment:28, 593, 10, ms
Experiment:29, 601, 8, ms
Experiment:30, 601, 9, ms
Experiment:31, 649, 9, ms
Experiment:32, 617, 8, ms
Experiment:33, 633, 8, ms
Experiment:34, 633, 9, ms
Experiment:35, 625, 9, ms
Experiment:36, 633, 8, ms
Experiment:37, 625, 9, ms
Experiment:38, 617, 11, ms
Experiment:39, 625, 11, ms
Experiment:40, 585, 8, ms
Experiment:41, 609, 9, ms
Experiment:42, 625, 8, ms
Experiment:43, 633, 8, ms
Experiment:44, 633, 8, ms
Experiment:45, 601, 8, ms
Experiment:46, 601, 8, ms
Experiment:47, 649, 9, ms
Experiment:48, 633, 8, ms
Experiment:49, 601, 32, ms
Experiment:50, 617, 11, ms
Experiment:51, 601, 8, ms
Experiment:52, 633, 7, ms
Experiment:53, 617, 8, ms
Experiment:54, 649, 8, ms
Experiment:55, 601, 7, ms
Experiment:56, 617, 8, ms
Experiment:57, 633, 10, ms
Experiment:58, 617, 7, ms
Experiment:59, 649, 9, ms
Experiment:60, 633, 10, ms
Experiment:61, 601, 9, ms
Experiment:62, 649, 8, ms
Experiment:63, 625, 7, ms
Experiment:64, 633, 8, ms
Experiment:65, 601, 7, ms
Experiment:66, 601, 6, ms
Experiment:67, 649, 7, ms
Experiment:68, 617, 7, ms
Experiment:69, 617, 7, ms
Experiment:70, 633, 6, ms
Experiment:71, 601, 8, ms
Experiment:72, 601, 7, ms
Experiment:73, 633, 7, ms
Experiment:74, 633, 6, ms
Experiment:75, 617, 9, ms
Experiment:76, 633, 7, ms
Experiment:77, 633, 7, ms
Experiment:78, 633, 7, ms
Experiment:79, 641, 7, ms
Experiment:80, 649, 7, ms
Experiment:81, 617, 7, ms
Experiment:82, 633, 7, ms
Experiment:83, 633, 7, ms
Experiment:84, 665, 7, ms
Experiment:85, 605, 7, ms
Experiment:86, 617, 7, ms
Experiment:87, 633, 8, ms
Experiment:88, 633, 8, ms
Experiment:89, 617, 7, ms
Experiment:90, 633, 7, ms
Experiment:91, 633, 7, ms
Experiment:92, 601, 7, ms
Experiment:93, 601, 7, ms
Experiment:94, 617, 7, ms
Experiment:95, 593, 8, ms
Experiment:96, 633, 7, ms
Experiment:97, 601, 6, ms
Experiment:98, 601, 7, ms
Experiment:99, 633, 7, ms
Platooning ABS Total Experiment:100, 621, 1122, ms
