n.exp, avg.step, time[ms]
Experiment:0, 49, 84, ms
Experiment:1, 41, 10, ms
Experiment:2, 41, 9, ms
Experiment:3, 41, 9, ms
Experiment:4, 41, 5, ms
Experiment:5, 49, 6, ms
Experiment:6, 49, 5, ms
Experiment:7, 49, 5, ms
Experiment:8, 49, 4, ms
Experiment:9, 49, 4, ms
Platooning ABS Total Experiment:10, 45, 141, ms
