PID, BUS, Root, BusTime, QueueTime
[people-2, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-15, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-29, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-31, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-5, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-43, bus-Bus_1, BusStop_1->BusStop_4, 4, 7]
[people-30, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-32, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-55, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-19, bus-Bus_1, BusStop_1->BusStop_0, 8, 8]
[people-20, bus-Bus_1, BusStop_1->BusStop_0, 8, 8]
[people-44, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-9, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-10, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-51, bus-Bus_1, BusStop_4->BusStop_0, 4, 10]
[people-6, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-7, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-8, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-11, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-27, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-52, bus-Bus_0, BusStop_4->BusStop_3, 12, 10]
[people-54, bus-Bus_0, BusStop_4->BusStop_3, 12, 10]
[people-12, bus-Bus_1, BusStop_4->BusStop_1, 12, 12]
[people-13, bus-Bus_1, BusStop_4->BusStop_1, 12, 12]
[people-26, bus-Bus_1, BusStop_4->BusStop_1, 12, 11]
[people-53, bus-Bus_1, BusStop_4->BusStop_1, 12, 10]
[people-58, bus-Bus_0, BusStop_3->BusStop_4, 4, 22]
[people-60, bus-Bus_0, BusStop_3->BusStop_4, 4, 22]
[people-24, bus-Bus_1, BusStop_0->BusStop_4, 12, 15]
[people-74, bus-Bus_1, BusStop_0->BusStop_4, 12, 13]
[people-34, bus-Bus_0, BusStop_3->BusStop_2, 8, 23]
[people-59, bus-Bus_0, BusStop_3->BusStop_2, 8, 22]
[people-61, bus-Bus_0, BusStop_3->BusStop_2, 8, 22]
[people-62, bus-Bus_0, BusStop_3->BusStop_2, 8, 22]
[people-80, bus-Bus_0, BusStop_4->BusStop_2, 4, 25]
[people-81, bus-Bus_0, BusStop_4->BusStop_2, 4, 25]
[people-83, bus-Bus_0, BusStop_4->BusStop_2, 4, 25]
[people-88, bus-Bus_0, BusStop_4->BusStop_2, 4, 25]
[people-48, bus-Bus_1, BusStop_1->BusStop_0, 8, 23]
[people-82, bus-Bus_1, BusStop_4->BusStop_0, 4, 25]
[people-84, bus-Bus_1, BusStop_4->BusStop_0, 4, 25]
[people-86, bus-Bus_1, BusStop_4->BusStop_0, 4, 25]
[people-87, bus-Bus_1, BusStop_4->BusStop_0, 4, 25]
[people-56, bus-Bus_0, BusStop_4->BusStop_3, 12, 26]
[people-115, bus-Bus_0, BusStop_4->BusStop_3, 12, 24]
[people-39, bus-Bus_0, BusStop_2->BusStop_3, 8, 31]
[people-40, bus-Bus_0, BusStop_2->BusStop_3, 8, 31]
[people-41, bus-Bus_0, BusStop_2->BusStop_3, 8, 31]
[people-65, bus-Bus_0, BusStop_2->BusStop_3, 8, 30]
[people-97, bus-Bus_0, BusStop_2->BusStop_3, 8, 29]
[people-57, bus-Bus_1, BusStop_4->BusStop_1, 12, 26]
[people-85, bus-Bus_1, BusStop_4->BusStop_1, 12, 25]
[people-117, bus-Bus_1, BusStop_4->BusStop_1, 12, 24]
[people-118, bus-Bus_1, BusStop_4->BusStop_1, 12, 24]
[people-119, bus-Bus_1, BusStop_4->BusStop_1, 12, 24]
[people-76, bus-Bus_1, BusStop_0->BusStop_1, 8, 29]
[people-64, bus-Bus_0, BusStop_2->BusStop_4, 12, 30]
[people-92, bus-Bus_0, BusStop_3->BusStop_4, 4, 37]
[people-94, bus-Bus_0, BusStop_3->BusStop_4, 4, 37]
[people-49, bus-Bus_1, BusStop_1->BusStop_4, 4, 39]
[people-69, bus-Bus_1, BusStop_1->BusStop_4, 4, 38]
[people-63, bus-Bus_0, BusStop_3->BusStop_2, 8, 38]
[people-89, bus-Bus_0, BusStop_3->BusStop_2, 8, 37]
[people-91, bus-Bus_0, BusStop_3->BusStop_2, 8, 37]
[people-120, bus-Bus_0, BusStop_4->BusStop_2, 4, 40]
[people-145, bus-Bus_0, BusStop_4->BusStop_2, 4, 39]
[people-147, bus-Bus_0, BusStop_4->BusStop_2, 4, 39]
[people-149, bus-Bus_0, BusStop_4->BusStop_2, 4, 39]
[people-50, bus-Bus_1, BusStop_1->BusStop_0, 8, 39]
[people-121, bus-Bus_1, BusStop_4->BusStop_0, 4, 40]
[people-122, bus-Bus_1, BusStop_4->BusStop_0, 4, 40]
[people-146, bus-Bus_1, BusStop_4->BusStop_0, 4, 39]
[people-148, bus-Bus_1, BusStop_4->BusStop_0, 4, 39]
[people-188, bus-Bus_1, BusStop_4->BusStop_0, 4, 38]
[people-116, bus-Bus_0, BusStop_4->BusStop_3, 12, 40]
[people-123, bus-Bus_0, BusStop_4->BusStop_3, 12, 40]
[people-150, bus-Bus_0, BusStop_4->BusStop_3, 12, 39]
[people-127, bus-Bus_0, BusStop_2->BusStop_3, 8, 44]
[people-151, bus-Bus_1, BusStop_4->BusStop_1, 12, 39]
[people-152, bus-Bus_1, BusStop_4->BusStop_1, 12, 39]
[people-182, bus-Bus_1, BusStop_4->BusStop_1, 12, 38]
[people-217, bus-Bus_1, BusStop_4->BusStop_1, 12, 37]
[people-112, bus-Bus_1, BusStop_0->BusStop_1, 8, 44]
[people-113, bus-Bus_1, BusStop_0->BusStop_1, 8, 44]
[people-114, bus-Bus_1, BusStop_0->BusStop_1, 8, 44]
[people-142, bus-Bus_1, BusStop_0->BusStop_1, 8, 43]
[people-143, bus-Bus_1, BusStop_0->BusStop_1, 8, 43]
[people-124, bus-Bus_0, BusStop_3->BusStop_4, 4, 52]
[people-72, bus-Bus_1, BusStop_1->BusStop_4, 4, 54]
[people-95, bus-Bus_0, BusStop_3->BusStop_2, 8, 53]
[people-153, bus-Bus_0, BusStop_4->BusStop_2, 4, 55]
[people-184, bus-Bus_0, BusStop_4->BusStop_2, 4, 54]
[people-185, bus-Bus_0, BusStop_4->BusStop_2, 4, 54]
[people-186, bus-Bus_0, BusStop_4->BusStop_2, 4, 54]
[people-243, bus-Bus_0, BusStop_4->BusStop_2, 4, 52]
[people-103, bus-Bus_1, BusStop_1->BusStop_0, 8, 53]
[people-105, bus-Bus_1, BusStop_1->BusStop_0, 8, 53]
[people-106, bus-Bus_1, BusStop_1->BusStop_0, 8, 53]
[people-238, bus-Bus_1, BusStop_4->BusStop_0, 4, 52]
[people-239, bus-Bus_1, BusStop_4->BusStop_0, 4, 52]
[people-240, bus-Bus_1, BusStop_4->BusStop_0, 4, 52]
[people-241, bus-Bus_1, BusStop_4->BusStop_0, 4, 52]
[people-242, bus-Bus_1, BusStop_4->BusStop_0, 4, 52]
[people-183, bus-Bus_0, BusStop_4->BusStop_3, 12, 54]
[people-187, bus-Bus_0, BusStop_4->BusStop_3, 12, 54]
[people-275, bus-Bus_0, BusStop_4->BusStop_3, 12, 51]
[people-276, bus-Bus_0, BusStop_4->BusStop_3, 12, 51]
[people-130, bus-Bus_0, BusStop_2->BusStop_3, 8, 60]
[people-133, bus-Bus_0, BusStop_2->BusStop_3, 8, 60]
[people-244, bus-Bus_1, BusStop_4->BusStop_1, 12, 52]
[people-245, bus-Bus_1, BusStop_4->BusStop_1, 12, 52]
[people-176, bus-Bus_1, BusStop_0->BusStop_1, 8, 58]
[people-179, bus-Bus_1, BusStop_0->BusStop_1, 8, 58]
[people-181, bus-Bus_1, BusStop_0->BusStop_1, 8, 58]
[people-135, bus-Bus_0, BusStop_2->BusStop_4, 12, 60]
[people-126, bus-Bus_0, BusStop_3->BusStop_4, 4, 68]
[people-144, bus-Bus_1, BusStop_0->BusStop_4, 12, 59]
[people-178, bus-Bus_1, BusStop_0->BusStop_4, 12, 58]
[people-208, bus-Bus_1, BusStop_0->BusStop_4, 12, 57]
[people-154, bus-Bus_0, BusStop_3->BusStop_2, 8, 67]
[people-157, bus-Bus_0, BusStop_3->BusStop_2, 8, 67]
[people-302, bus-Bus_0, BusStop_4->BusStop_2, 4, 66]
[people-303, bus-Bus_0, BusStop_4->BusStop_2, 4, 66]
[people-305, bus-Bus_0, BusStop_4->BusStop_2, 4, 66]
[people-307, bus-Bus_0, BusStop_4->BusStop_2, 4, 66]
[people-108, bus-Bus_1, BusStop_1->BusStop_0, 8, 69]
[people-109, bus-Bus_1, BusStop_1->BusStop_0, 8, 69]
[people-136, bus-Bus_1, BusStop_1->BusStop_0, 8, 68]
[people-301, bus-Bus_1, BusStop_4->BusStop_0, 4, 66]
[people-306, bus-Bus_1, BusStop_4->BusStop_0, 4, 66]
[people-308, bus-Bus_1, BusStop_4->BusStop_0, 4, 66]
[people-329, bus-Bus_0, BusStop_4->BusStop_3, 12, 65]
[people-331, bus-Bus_0, BusStop_4->BusStop_3, 12, 65]
[people-332, bus-Bus_0, BusStop_4->BusStop_3, 12, 65]
[people-334, bus-Bus_0, BusStop_4->BusStop_3, 12, 65]
[people-161, bus-Bus_0, BusStop_2->BusStop_3, 8, 75]
[people-246, bus-Bus_1, BusStop_4->BusStop_1, 12, 68]
[people-300, bus-Bus_1, BusStop_4->BusStop_1, 12, 66]
[people-304, bus-Bus_1, BusStop_4->BusStop_1, 12, 66]
[people-330, bus-Bus_1, BusStop_4->BusStop_1, 12, 65]
[people-162, bus-Bus_0, BusStop_2->BusStop_4, 12, 75]
[people-163, bus-Bus_0, BusStop_2->BusStop_4, 12, 75]
[people-159, bus-Bus_0, BusStop_3->BusStop_4, 4, 83]
[people-191, bus-Bus_0, BusStop_3->BusStop_4, 4, 82]
[people-210, bus-Bus_1, BusStop_0->BusStop_4, 12, 73]
[people-211, bus-Bus_1, BusStop_0->BusStop_4, 12, 73]
[people-212, bus-Bus_1, BusStop_0->BusStop_4, 12, 73]
[people-140, bus-Bus_1, BusStop_1->BusStop_4, 4, 84]
[people-218, bus-Bus_0, BusStop_3->BusStop_2, 8, 81]
[people-335, bus-Bus_0, BusStop_4->BusStop_2, 4, 81]
[people-360, bus-Bus_0, BusStop_4->BusStop_2, 4, 80]
[people-3, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 16, 80]
[people-4, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 16, 80]
[people-359, bus-Bus_1, BusStop_4->BusStop_0, 4, 80]
[people-361, bus-Bus_1, BusStop_4->BusStop_0, 4, 80]
[people-17, bus-Bus_0-Bus_1, BusStop_2->BusStop_4->BusStop_0, 16, 80]
[people-18, bus-Bus_0-Bus_1, BusStop_2->BusStop_4->BusStop_0, 16, 80]
[people-28, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 87]
[people-358, bus-Bus_0, BusStop_4->BusStop_3, 12, 80]
[people-1, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_3, 24, 80]
[people-21, bus-Bus_1-Bus_0, BusStop_1->BusStop_4->BusStop_3, 16, 88]
[people-42, bus-Bus_1-Bus_0, BusStop_1->BusStop_4->BusStop_3, 16, 87]
[people-367, bus-Bus_0, BusStop_4->BusStop_3, 12, 79]
[people-166, bus-Bus_0, BusStop_2->BusStop_3, 8, 91]
[people-194, bus-Bus_0, BusStop_2->BusStop_3, 8, 90]
[people-333, bus-Bus_1, BusStop_4->BusStop_1, 12, 81]
[people-357, bus-Bus_1, BusStop_4->BusStop_1, 12, 80]
[people-16, bus-Bus_0-Bus_1, BusStop_2->BusStop_4->BusStop_1, 24, 80]
[people-14, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 88]
[people-366, bus-Bus_1, BusStop_4->BusStop_1, 12, 79]
[people-233, bus-Bus_1, BusStop_0->BusStop_1, 8, 88]
[people-193, bus-Bus_0, BusStop_2->BusStop_4, 12, 90]
[people-222, bus-Bus_0, BusStop_3->BusStop_4, 4, 97]
[people-173, bus-Bus_1, BusStop_1->BusStop_4, 4, 99]
[people-219, bus-Bus_0, BusStop_3->BusStop_2, 8, 97]
[people-221, bus-Bus_0, BusStop_3->BusStop_2, 8, 97]
[people-385, bus-Bus_0, BusStop_4->BusStop_2, 4, 94]
[people-386, bus-Bus_0, BusStop_4->BusStop_2, 4, 94]
[people-439, bus-Bus_0, BusStop_4->BusStop_2, 4, 92]
[people-171, bus-Bus_1, BusStop_1->BusStop_0, 8, 99]
[people-368, bus-Bus_1, BusStop_4->BusStop_0, 4, 95]
[people-383, bus-Bus_1, BusStop_4->BusStop_0, 4, 94]
[people-384, bus-Bus_1, BusStop_4->BusStop_0, 4, 94]
