PID, BUS, Root, BusTime, QueueTime
[people-23, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-26, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-4, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-6, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-2, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-8, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-9, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-20, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-22, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-43, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-13, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-37, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-10, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-11, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-12, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-106, bus-Bus_1, BusStop_4->BusStop_0, 4, 8]
[people-125, bus-Bus_1, BusStop_4->BusStop_0, 4, 7]
[people-126, bus-Bus_1, BusStop_4->BusStop_0, 4, 7]
[people-15, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-17, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-35, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-36, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-38, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-64, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-67, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-14, bus-Bus_1, BusStop_4->BusStop_1, 12, 12]
[people-16, bus-Bus_1, BusStop_4->BusStop_1, 12, 12]
[people-40, bus-Bus_1, BusStop_4->BusStop_1, 12, 11]
[people-109, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-49, bus-Bus_1, BusStop_0->BusStop_1, 8, 14]
[people-52, bus-Bus_1, BusStop_0->BusStop_1, 8, 14]
[people-65, bus-Bus_0, BusStop_2->BusStop_4, 12, 14]
[people-62, bus-Bus_0, BusStop_3->BusStop_4, 4, 22]
[people-63, bus-Bus_0, BusStop_3->BusStop_4, 4, 22]
[people-34, bus-Bus_1, BusStop_0->BusStop_4, 12, 15]
[people-51, bus-Bus_1, BusStop_0->BusStop_4, 12, 14]
[people-30, bus-Bus_1, BusStop_1->BusStop_4, 4, 24]
[people-33, bus-Bus_1, BusStop_1->BusStop_4, 4, 24]
[people-45, bus-Bus_1, BusStop_1->BusStop_4, 4, 23]
[people-87, bus-Bus_0, BusStop_3->BusStop_2, 8, 21]
[people-39, bus-Bus_0, BusStop_4->BusStop_2, 4, 27]
[people-42, bus-Bus_0, BusStop_4->BusStop_2, 4, 27]
[people-129, bus-Bus_0, BusStop_4->BusStop_2, 4, 23]
[people-32, bus-Bus_1, BusStop_1->BusStop_0, 8, 24]
[people-166, bus-Bus_1, BusStop_4->BusStop_0, 4, 21]
[people-41, bus-Bus_0, BusStop_4->BusStop_3, 12, 27]
[people-57, bus-Bus_0, BusStop_4->BusStop_3, 12, 26]
[people-86, bus-Bus_0, BusStop_4->BusStop_3, 12, 25]
[people-107, bus-Bus_0, BusStop_4->BusStop_3, 12, 24]
[people-108, bus-Bus_0, BusStop_4->BusStop_3, 12, 24]
[people-127, bus-Bus_0, BusStop_4->BusStop_3, 12, 23]
[people-69, bus-Bus_0, BusStop_2->BusStop_3, 8, 30]
[people-70, bus-Bus_0, BusStop_2->BusStop_3, 8, 30]
[people-128, bus-Bus_1, BusStop_4->BusStop_1, 12, 23]
[people-130, bus-Bus_1, BusStop_4->BusStop_1, 12, 23]
[people-144, bus-Bus_1, BusStop_4->BusStop_1, 12, 22]
[people-165, bus-Bus_1, BusStop_4->BusStop_1, 12, 21]
[people-168, bus-Bus_1, BusStop_4->BusStop_1, 12, 21]
[people-169, bus-Bus_1, BusStop_4->BusStop_1, 12, 21]
[people-204, bus-Bus_1, BusStop_4->BusStop_1, 12, 19]
[people-205, bus-Bus_1, BusStop_4->BusStop_1, 12, 19]
[people-54, bus-Bus_1, BusStop_0->BusStop_1, 8, 30]
[people-90, bus-Bus_0, BusStop_3->BusStop_4, 4, 37]
[people-110, bus-Bus_0, BusStop_3->BusStop_4, 4, 36]
[people-113, bus-Bus_0, BusStop_3->BusStop_4, 4, 36]
[people-75, bus-Bus_1, BusStop_1->BusStop_4, 4, 38]
[people-91, bus-Bus_0, BusStop_3->BusStop_2, 8, 37]
[people-112, bus-Bus_0, BusStop_3->BusStop_2, 8, 36]
[people-131, bus-Bus_0, BusStop_3->BusStop_2, 8, 35]
[people-145, bus-Bus_0, BusStop_4->BusStop_2, 4, 38]
[people-225, bus-Bus_0, BusStop_4->BusStop_2, 4, 34]
[people-206, bus-Bus_1, BusStop_4->BusStop_0, 4, 35]
[people-226, bus-Bus_1, BusStop_4->BusStop_0, 4, 34]
[people-227, bus-Bus_1, BusStop_4->BusStop_0, 4, 34]
[people-274, bus-Bus_1, BusStop_4->BusStop_0, 4, 32]
[people-167, bus-Bus_0, BusStop_4->BusStop_3, 12, 37]
[people-230, bus-Bus_0, BusStop_4->BusStop_3, 12, 34]
[people-231, bus-Bus_0, BusStop_4->BusStop_3, 12, 34]
[people-233, bus-Bus_0, BusStop_4->BusStop_3, 12, 34]
[people-257, bus-Bus_0, BusStop_4->BusStop_3, 12, 33]
[people-96, bus-Bus_0, BusStop_2->BusStop_3, 8, 45]
[people-228, bus-Bus_1, BusStop_4->BusStop_1, 12, 34]
[people-229, bus-Bus_1, BusStop_4->BusStop_1, 12, 34]
[people-232, bus-Bus_1, BusStop_4->BusStop_1, 12, 34]
[people-275, bus-Bus_1, BusStop_4->BusStop_1, 12, 32]
[people-276, bus-Bus_1, BusStop_4->BusStop_1, 12, 32]
[people-24, bus-Bus_0-Bus_1, BusStop_2->BusStop_4->BusStop_1, 24, 32]
[people-56, bus-Bus_1, BusStop_0->BusStop_1, 8, 46]
[people-81, bus-Bus_1, BusStop_1->BusStop_4, 4, 54]
[people-101, bus-Bus_1, BusStop_1->BusStop_4, 4, 53]
[people-104, bus-Bus_1, BusStop_1->BusStop_4, 4, 53]
[people-133, bus-Bus_0, BusStop_3->BusStop_2, 8, 51]
[people-271, bus-Bus_0, BusStop_4->BusStop_2, 4, 48]
[people-277, bus-Bus_0, BusStop_4->BusStop_2, 4, 48]
[people-1, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 16, 48]
[people-5, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 16, 48]
[people-100, bus-Bus_1, BusStop_1->BusStop_0, 8, 53]
[people-102, bus-Bus_1, BusStop_1->BusStop_0, 8, 53]
[people-18, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 56]
[people-58, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 54]
