PID, BUS, Root, BusTime, QueueTime
[people-9, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-7, bus-Bus_0, BusStop_3->BusStop_4, 4, 8]
[people-37, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-3, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-8, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-26, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-29, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-32, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-34, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-77, bus-Bus_0, BusStop_4->BusStop_2, 4, 9]
[people-13, bus-Bus_1, BusStop_1->BusStop_0, 8, 8]
[people-14, bus-Bus_1, BusStop_1->BusStop_0, 8, 8]
[people-4, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-28, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-31, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-79, bus-Bus_1, BusStop_4->BusStop_0, 4, 9]
[people-27, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-30, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-51, bus-Bus_0, BusStop_4->BusStop_3, 12, 10]
[people-101, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-41, bus-Bus_0, BusStop_2->BusStop_3, 8, 15]
[people-43, bus-Bus_0, BusStop_2->BusStop_3, 8, 15]
[people-5, bus-Bus_1, BusStop_4->BusStop_1, 12, 12]
[people-33, bus-Bus_1, BusStop_4->BusStop_1, 12, 11]
[people-50, bus-Bus_1, BusStop_4->BusStop_1, 12, 10]
[people-78, bus-Bus_1, BusStop_4->BusStop_1, 12, 9]
[people-20, bus-Bus_1, BusStop_0->BusStop_1, 8, 15]
[people-44, bus-Bus_0, BusStop_2->BusStop_4, 12, 15]
[people-56, bus-Bus_0, BusStop_3->BusStop_4, 4, 22]
[people-57, bus-Bus_0, BusStop_3->BusStop_4, 4, 22]
[people-55, bus-Bus_0, BusStop_3->BusStop_2, 8, 22]
[people-102, bus-Bus_0, BusStop_4->BusStop_2, 4, 24]
[people-128, bus-Bus_0, BusStop_4->BusStop_2, 4, 23]
[people-130, bus-Bus_0, BusStop_4->BusStop_2, 4, 23]
[people-148, bus-Bus_0, BusStop_4->BusStop_2, 4, 22]
[people-150, bus-Bus_0, BusStop_4->BusStop_2, 4, 22]
[people-66, bus-Bus_1, BusStop_1->BusStop_0, 8, 22]
[people-67, bus-Bus_1, BusStop_1->BusStop_0, 8, 22]
[people-103, bus-Bus_1, BusStop_4->BusStop_0, 4, 24]
[people-106, bus-Bus_1, BusStop_4->BusStop_0, 4, 24]
[people-129, bus-Bus_1, BusStop_4->BusStop_0, 4, 23]
[people-145, bus-Bus_1, BusStop_4->BusStop_0, 4, 22]
[people-105, bus-Bus_0, BusStop_4->BusStop_3, 12, 24]
[people-107, bus-Bus_0, BusStop_4->BusStop_3, 12, 24]
[people-109, bus-Bus_0, BusStop_4->BusStop_3, 12, 24]
[people-147, bus-Bus_0, BusStop_4->BusStop_3, 12, 22]
[people-45, bus-Bus_0, BusStop_2->BusStop_3, 8, 31]
[people-62, bus-Bus_0, BusStop_2->BusStop_3, 8, 30]
[people-84, bus-Bus_0, BusStop_2->BusStop_3, 8, 29]
[people-104, bus-Bus_1, BusStop_4->BusStop_1, 12, 24]
[people-108, bus-Bus_1, BusStop_4->BusStop_1, 12, 24]
[people-146, bus-Bus_1, BusStop_4->BusStop_1, 12, 22]
[people-149, bus-Bus_1, BusStop_4->BusStop_1, 12, 22]
[people-23, bus-Bus_1, BusStop_0->BusStop_1, 8, 31]
[people-63, bus-Bus_0, BusStop_2->BusStop_4, 12, 30]
[people-60, bus-Bus_0, BusStop_3->BusStop_4, 4, 38]
[people-80, bus-Bus_0, BusStop_3->BusStop_4, 4, 37]
[people-110, bus-Bus_0, BusStop_3->BusStop_4, 4, 36]
[people-112, bus-Bus_0, BusStop_3->BusStop_4, 4, 36]
[people-25, bus-Bus_1, BusStop_0->BusStop_4, 12, 31]
[people-94, bus-Bus_1, BusStop_1->BusStop_4, 4, 37]
[people-81, bus-Bus_0, BusStop_3->BusStop_2, 8, 37]
[people-111, bus-Bus_0, BusStop_3->BusStop_2, 8, 36]
[people-152, bus-Bus_0, BusStop_4->BusStop_2, 4, 38]
[people-172, bus-Bus_0, BusStop_4->BusStop_2, 4, 37]
[people-178, bus-Bus_0, BusStop_4->BusStop_2, 4, 37]
[people-217, bus-Bus_0, BusStop_4->BusStop_2, 4, 35]
[people-90, bus-Bus_1, BusStop_1->BusStop_0, 8, 37]
[people-92, bus-Bus_1, BusStop_1->BusStop_0, 8, 37]
[people-171, bus-Bus_1, BusStop_4->BusStop_0, 4, 37]
[people-177, bus-Bus_1, BusStop_4->BusStop_0, 4, 37]
[people-153, bus-Bus_0, BusStop_4->BusStop_3, 12, 38]
[people-175, bus-Bus_0, BusStop_4->BusStop_3, 12, 37]
[people-176, bus-Bus_0, BusStop_4->BusStop_3, 12, 37]
[people-216, bus-Bus_0, BusStop_4->BusStop_3, 12, 35]
[people-86, bus-Bus_0, BusStop_2->BusStop_3, 8, 45]
[people-151, bus-Bus_1, BusStop_4->BusStop_1, 12, 38]
[people-173, bus-Bus_1, BusStop_4->BusStop_1, 12, 37]
[people-174, bus-Bus_1, BusStop_4->BusStop_1, 12, 37]
[people-215, bus-Bus_1, BusStop_4->BusStop_1, 12, 35]
[people-246, bus-Bus_1, BusStop_4->BusStop_1, 12, 34]
[people-247, bus-Bus_1, BusStop_4->BusStop_1, 12, 34]
[people-69, bus-Bus_1, BusStop_0->BusStop_1, 8, 45]
[people-85, bus-Bus_0, BusStop_2->BusStop_4, 12, 45]
[people-87, bus-Bus_0, BusStop_2->BusStop_4, 12, 45]
[people-182, bus-Bus_0, BusStop_2->BusStop_4, 12, 41]
[people-114, bus-Bus_0, BusStop_3->BusStop_4, 4, 52]
[people-115, bus-Bus_0, BusStop_3->BusStop_4, 4, 52]
[people-70, bus-Bus_1, BusStop_0->BusStop_4, 12, 45]
[people-95, bus-Bus_1, BusStop_1->BusStop_4, 4, 53]
[people-117, bus-Bus_1, BusStop_1->BusStop_4, 4, 52]
[people-119, bus-Bus_1, BusStop_1->BusStop_4, 4, 52]
[people-113, bus-Bus_0, BusStop_3->BusStop_2, 8, 52]
[people-218, bus-Bus_0, BusStop_4->BusStop_2, 4, 51]
[people-219, bus-Bus_0, BusStop_4->BusStop_2, 4, 51]
[people-245, bus-Bus_0, BusStop_4->BusStop_2, 4, 50]
[people-249, bus-Bus_0, BusStop_4->BusStop_2, 4, 50]
[people-261, bus-Bus_0, BusStop_4->BusStop_2, 4, 49]
[people-290, bus-Bus_0, BusStop_4->BusStop_2, 4, 48]
[people-291, bus-Bus_0, BusStop_4->BusStop_2, 4, 48]
[people-292, bus-Bus_0, BusStop_4->BusStop_2, 4, 48]
[people-120, bus-Bus_1, BusStop_1->BusStop_0, 8, 52]
[people-248, bus-Bus_1, BusStop_4->BusStop_0, 4, 50]
[people-289, bus-Bus_1, BusStop_4->BusStop_0, 4, 48]
[people-293, bus-Bus_1, BusStop_4->BusStop_0, 4, 48]
[people-6, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 56]
[people-262, bus-Bus_0, BusStop_4->BusStop_3, 12, 49]
[people-198, bus-Bus_0, BusStop_2->BusStop_3, 8, 56]
[people-263, bus-Bus_1, BusStop_4->BusStop_1, 12, 49]
[people-10, bus-Bus_0-Bus_1, BusStop_2->BusStop_4->BusStop_1, 24, 48]
[people-35, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 55]
[people-36, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 55]
[people-38, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 55]
