n.exp, avg.step, time[ms]
Experiment:0, 49, 92, ms
Experiment:1, 57, 13, ms
Experiment:2, 73, 14, ms
Experiment:3, 73, 11, ms
Experiment:4, 73, 7, ms
Experiment:5, 57, 7, ms
Experiment:6, 73, 6, ms
Experiment:7, 73, 8, ms
Experiment:8, 57, 4, ms
Experiment:9, 73, 4, ms
Platooning ABS Total Experiment:10, 65, 166, ms
