PID, BUS, Root, BusTime, QueueTime
[people-22, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-24, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-2, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-3, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-4, bus-Bus_1, BusStop_0->BusStop_1, 8, 0]
[people-12, bus-Bus_2, BusStop_4->BusStop_2, 4, 4]
[people-33, bus-Bus_2, BusStop_4->BusStop_2, 4, 3]
[people-38, bus-Bus_2, BusStop_4->BusStop_2, 4, 3]
[people-8, bus-Bus_3, BusStop_4->BusStop_0, 4, 4]
[people-10, bus-Bus_3, BusStop_4->BusStop_0, 4, 4]
[people-34, bus-Bus_3, BusStop_4->BusStop_0, 4, 3]
[people-35, bus-Bus_3, BusStop_4->BusStop_0, 4, 3]
[people-25, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-41, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-42, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-43, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-55, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-56, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-39, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-68, bus-Bus_1, BusStop_4->BusStop_0, 4, 10]
[people-70, bus-Bus_1, BusStop_4->BusStop_0, 4, 10]
[people-71, bus-Bus_1, BusStop_4->BusStop_0, 4, 10]
[people-7, bus-Bus_2, BusStop_4->BusStop_3, 12, 4]
[people-75, bus-Bus_2, BusStop_2->BusStop_3, 8, 6]
[people-77, bus-Bus_2, BusStop_2->BusStop_3, 8, 6]
[people-78, bus-Bus_2, BusStop_2->BusStop_3, 8, 6]
[people-95, bus-Bus_2, BusStop_2->BusStop_3, 8, 5]
[people-9, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-11, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-13, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-14, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-15, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-36, bus-Bus_3, BusStop_4->BusStop_1, 12, 3]
[people-76, bus-Bus_2, BusStop_2->BusStop_4, 12, 6]
[people-28, bus-Bus_3, BusStop_0->BusStop_4, 12, 7]
